id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
20120,410156.0,6625414.0,0,0,0,0,,3,24094,24146
20124,662318.0,6625092.0,0,0,0,0,,4,23477,24181
20126,658722.0,6625011.0,0,0,0,0,,3,24138,24180
20127,829445.0,6624996.0,0,0,0,0,,4,24011,24197
20128,662551.0,6624966.0,0,0,0,0,,3,23862,24192
20137,850340.0,6624805.0,0,0,0,0,,3,24206,24211
20138,662185.0,6624789.0,0,0,0,0,,3,24201,24202
20142,363719.0,6624669.0,0,0,0,0,,4,24116,24175
20146,658370.0,6624442.0,0,0,0,0,,3,22760,24196
20150,490777.0,6624235.0,0,0,0,0,,4,23766,24224
20155,493828.0,6624099.0,0,0,0,0,,4,23644,24225
20157,895829.0,6624038.0,0,0,0,0,,3,24154,24234
20158,379873.0,6623950.0,0,0,0,0,,3,24125,24236
20159,413151.0,6623908.0,0,0,0,0,,3,24188,24238
20162,343770.0,6623859.0,0,0,0,0,,3,23760,24233
20165,360402.0,6623802.0,0,0,0,0,,4,24168,24179
20168,382348.0,6623702.0,0,0,0,0,,3,24100,24247
20169,604542.0,6623663.0,0,0,0,0,,3,24130,24150
20178,451751.0,6623398.0,0,0,0,0,,4,23789,24260
20179,381052.0,6623389.0,0,0,0,0,,3,24236,24263
20180,451483.0,6623381.0,0,0,0,0,,3,23471,24261
20183,381306.0,6623237.0,0,0,0,0,,3,24247,24264
20184,415275.0,6623198.0,0,0,0,0,,4,23725,24257
20187,591747.0,6623096.0,0,0,0,0,,3,23987,24272
20188,806167.0,6623096.0,0,0,0,0,,4,23852,24078
20189,514778.0,6623052.0,0,0,0,0,,4,24068,24276
20194,380990.0,6622822.0,0,0,0,0,,4,24263,24267
20196,891947.0,6622784.0,0,0,0,0,,5,24002,24155
20200,381693.0,6622616.0,0,0,0,0,,5,24248,24268
20202,382812.0,6622532.0,0,0,0,0,,3,23572,24292
20203,498065.0,6622520.0,0,0,0,0,,3,23844,24296
20205,424605.0,6622432.0,0,0,0,0,,3,24257,24289
20206,413154.0,6622422.0,0,0,0,0,,3,24239,24269
